Time,/RHipRoll/,/LKneePitch/,/LHipPitch/,/RKneePitch/,/LAnklePitch/,/LHipYawPitch/,/RAnkleRoll/,/RHipPitch/,/LHipRoll/,/LAnkleRoll/,/RAnklePitch/
1.3241,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.33412,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.34417,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.35417,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.36415,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.37428,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.38423,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.3949,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.97462,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.97767,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.98551,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
1.99555,0.000506349,1.1504,-0.6748,1.1504,-0.5798,-0.00164881,-0.000526706,-0.6748,0.0007178,-0.000613999,-0.5798
2.00553,0.000126988,1.1505,-0.674746,1.15049,-0.579931,-0.0011541,-0.000140318,-0.6748,0.000285753,-0.000203537,-0.579892
2.01551,-0.000252372,1.1506,-0.674691,1.15059,-0.580062,-0.000659399,0.000246071,-0.6748,-0.000146294,0.000206924,-0.579985
2.02566,-0.000631733,1.1507,-0.674636,1.15068,-0.580192,-0.000164695,0.000632459,-0.674895,-0.000578341,0.000617385,-0.580077
2.03562,-7.65E-05,1.15043,-0.674783,1.15043,-0.579841,1.17E-05,7.69E-05,-0.67499,-7.46E-05,7.69E-05,-0.579829
2.0456,0.00188068,1.1496,-0.67523,1.14967,-0.578767,-0.000289403,-0.00189149,-0.675085,0.00183279,-0.00189,-0.579071
