Time,RAnkleRoll,LHipYawPitch,RKneePitch,LKneePitch,RHipRoll,LHipRoll,LHipPitch,LAnklePitch,RHipPitch,LAnkleRoll,RAnklePitch,LFoot/FSR/FrontRight/Sensor/Value,LFoot/FSR/RearLeft/Sensor/Value,LFoot/FSR/FrontLeft/Sensor/Value,LFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/FrontLeft/Sensor/Value,RFoot/FSR/FrontRight/Sensor/Value,RFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/RearLeft/Sensor/Value
0.852336,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0162346,0.549997,0.258944,0,0.159205,0.548531,0.367639,0
0.862248,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0153762,0.551496,0.258944,0,0.16002,0.543739,0.367639,0
0.872242,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0161483,0.549997,0.257969,0,0.158799,0.548531,0.368825,0
0.882314,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0157184,0.551496,0.257484,0,0.158799,0.550953,0.366459,0
0.892343,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0154616,0.549997,0.258456,0,0.158799,0.55462,0.368825,0
0.902329,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0154616,0.549997,0.258456,0,0.157991,0.553393,0.369421,0
0.912415,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0153762,0.549997,0.257969,0,0.159408,0.550953,0.370018,0
0.922332,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0158042,0.551496,0.259433,0,0.15779,0.54974,0.370018,0
0.932383,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0157184,0.549997,0.261896,0,0.158193,0.550953,0.369421,0
0.942481,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0154616,0.549997,0.262392,0,0.157388,0.550953,0.368825,0
0.952428,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0152908,0.551496,0.26289,0,0.158395,0.550953,0.368825,0
0.962478,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0155471,0.551496,0.262392,0,0.15779,0.54974,0.367639,0
0.972527,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0160622,0.551496,0.263888,0,0.159002,0.550953,0.369421,0
0.982493,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0160622,0.545543,0.264389,0,0.156588,0.54974,0.369421,0
0.992546,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0150355,0.554515,0.266404,0,0.157589,0.550953,0.371215,0
1.00257,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0152908,0.553002,0.266404,0,0.157589,0.548531,0.373629,0
1.0126,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0152056,0.556036,0.267419,0,0.156389,0.547326,0.373629,0
1.02261,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0155471,0.557563,0.268439,0,0.157388,0.550953,0.372419,0
1.03281,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0158901,0.557563,0.268951,0,0.15619,0.552171,0.372419,0
1.04266,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0158042,0.554515,0.268439,0,0.157188,0.54974,0.370616,0
