Time,"Device/SubDeviceList/RAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LHipYawPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/RKneePitch/Position/Actuator/Value","Device/SubDeviceList/LKneePitch/Position/Actuator/Value","Device/SubDeviceList/RHipRoll/Position/Actuator/Value","Device/SubDeviceList/LHipRoll/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LHipPitch/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LAnklePitch/Position/Actuator/Value","Device/SubDeviceList/RHipPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/LAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RAnklePitch/Position/Actuator/Value"
1.45352,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.438147,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158387,0.13149,-0.023071,1.51113,-0.66373
1.46357,-0.029866,-0.01174,0.264956,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.157963,0.130325,-0.023071,1.51113,-0.66373
1.47364,-0.029866,-0.01174,0.263079,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0179806,0,-0.32887,-0.60538,0,0.1586,0.131023,-0.023071,1.51113,-0.66373
1.48365,-0.029866,-0.01174,0.263079,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0179806,0,-0.32887,-0.60538,0,0.158387,0.131256,-0.023071,1.51113,-0.66373
1.49365,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.1586,0.130557,-0.023071,1.5184,-0.66373
1.50368,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.5184,-0.66373
1.51558,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158175,0.13079,-0.023071,1.51113,-0.66373
1.52367,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158175,0.13079,-0.023071,1.51113,-0.66373
1.53654,-0.029866,-0.01174,0.263079,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.1586,0.130325,-0.023071,1.5184,-0.66373
1.54382,-0.029866,-0.01174,0.263079,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.1586,0.130325,-0.023071,1.5184,-0.66373
