Time, RHipRoll/ , LKneePitch/ , LHipPitch/ , RKneePitch/ , LAnklePitch/ , LHipYawPitch/ , RAnkleRoll/ , RHipPitch/ , LHipRoll/ , LAnkleRoll/ , RAnklePitch/ 
1.27347,0.155983,0.983024,-0.837345,1.04331,-0.270193,-0.0267885,-0.156986,-0.569231,0.142936,-0.149234,-0.599013
1.28396,0.146945,0.991517,-0.835788,1.04939,-0.278736,-0.0250819,-0.147879,-0.566167,0.134758,-0.140592,-0.606583
1.29359,0.13738,1.00073,-0.834163,1.05517,-0.288055,-0.0233447,-0.138243,-0.562684,0.126084,-0.131461,-0.614261
1.30424,0.127769,1.00998,-0.83252,1.06091,-0.297437,-0.0216067,-0.128562,-0.559155,0.117366,-0.122287,-0.621936
1.31361,0.117749,1.01962,-0.830704,1.06617,-0.307391,-0.0198611,-0.118471,-0.555221,0.108242,-0.11272,-0.62958
1.32403,0.107699,1.02927,-0.828861,1.07136,-0.317379,-0.0181173,-0.108352,-0.551247,0.099086,-0.103124,-0.637203
1.33388,0.0973913,1.03892,-0.826769,1.07591,-0.327667,-0.0163905,-0.0979768,-0.54692,0.0896462,-0.0932634,-0.644635
1.3439,0.087072,1.04853,-0.824651,1.08039,-0.337953,-0.0146679,-0.0875906,-0.542563,0.0801882,-0.0833879,-0.652031
1.35371,0.0766503,1.05777,-0.82229,1.08418,-0.348215,-0.012982,-0.077109,-0.537934,0.0705663,-0.073378,-0.659098
1.3642,0.0662309,1.06694,-0.819906,1.08789,-0.358444,-0.0113016,-0.0666311,-0.533283,0.0609369,-0.0633648,-0.666118
1.37372,0.0558331,1.07545,-0.817303,1.09084,-0.368389,-0.00966922,-0.0561864,-0.528434,0.0512407,-0.0533208,-0.672714
1.38389,0.0454469,1.08386,-0.814678,1.0937,-0.378284,-0.00804244,-0.0457549,-0.52357,0.0415445,-0.0432809,-0.679256
1.39388,0.0351643,1.09141,-0.81186,1.09574,-0.387723,-0.00646564,-0.0354424,-0.518564,0.0318485,-0.0332792,-0.685322
1.40381,0.0248987,1.09887,-0.809024,1.09768,-0.397098,-0.00489367,-0.025149,-0.513548,0.0221565,-0.0232859,-0.691331
1.41412,0.0147847,1.10538,-0.806035,1.09877,-0.405894,-0.00336522,-0.0150271,-0.50844,0.0125012,-0.0133676,-0.69684
1.42422,0.0046896,1.11178,-0.803035,1.09977,-0.414616,-0.00184005,-0.00492659,-0.503325,0.00285096,-0.00345866,-0.702292
1.43397,-0.00523651,1.11716,-0.799932,1.09995,-0.422676,-0.000344338,0.00498056,-0.498154,-0.00675428,0.00636695,-0.707244
1.444,-0.0151457,1.12242,-0.796824,1.10003,-0.430658,0.00115052,0.0148676,-0.492978,-0.016357,0.0161859,-0.712142
1.45398,-0.0249025,1.1266,-0.793662,1.09932,-0.437943,0.0026377,0.0245739,-0.487762,-0.0259365,0.0259446,-0.716564
1.4641,-0.0346494,1.13068,-0.790495,1.09852,-0.445155,0.00412742,0.0342669,-0.482536,-0.0355202,0.0357039,-0.720939
1.47411,-0.044308,1.13374,-0.787287,1.09691,-0.451715,0.00563999,0.0438406,-0.477232,-0.045141,0.0454684,-0.724881
1.48409,-0.0539659,1.1367,-0.784071,1.09521,-0.458214,0.00715853,0.0534101,-0.47192,-0.0547735,0.0552418,-0.728779
1.49408,-0.0636181,1.13875,-0.780781,1.09273,-0.464154,0.00873088,0.0629416,-0.466531,-0.0645111,0.0650967,-0.732279
1.5042,-0.0732783,1.14071,-0.777476,1.09018,-0.470044,0.0103122,0.0724777,-0.461139,-0.0742668,0.0749678,-0.735738
1.51412,-0.0830114,1.14183,-0.774033,1.08697,-0.475482,0.0119743,0.0820543,-0.455727,-0.0841849,0.0849861,-0.738817
1.52423,-0.0927562,1.14287,-0.770571,1.0837,-0.480876,0.0136472,0.0916393,-0.450321,-0.0941231,0.095023,-0.741856
1.53428,-0.102607,1.14311,-0.766934,1.07988,-0.485877,0.0154182,0.101299,-0.444974,-0.104243,0.105227,-0.744526
1.54423,-0.113466,1.14321,-0.76289,1.07558,-0.4913,0.0173902,0.111943,-0.439128,-0.11541,0.116486,-0.747383
1.5542,-0.123435,1.14259,-0.759034,1.07131,-0.495905,0.0192806,0.121691,-0.433962,-0.12571,0.12686,-0.749654
1.56427,-0.133422,1.14181,-0.755133,1.06701,-0.500436,0.0211953,0.131452,-0.428864,-0.136034,0.137259,-0.751847
1.57427,-0.143481,1.14036,-0.75105,1.06254,-0.504669,0.0232069,0.141264,-0.424035,-0.146455,0.147753,-0.753732
1.58434,-0.153546,1.13877,-0.746925,1.05809,-0.508827,0.0252407,0.151078,-0.419314,-0.156882,0.158253,-0.755545
1.59435,-0.163638,1.1366,-0.742633,1.05365,-0.512689,0.0273635,0.160897,-0.415026,-0.167337,0.168781,-0.757068
1.60456,-0.173716,1.13431,-0.738311,1.04928,-0.516474,0.029504,0.170698,-0.410898,-0.177772,0.179289,-0.758524
1.61452,-0.18374,1.13153,-0.733866,1.04518,-0.519949,0.0317151,0.180427,-0.40741,-0.188126,0.189717,-0.759716
1.62456,-0.193724,1.12863,-0.729409,1.04122,-0.523342,0.033937,0.190111,-0.404133,-0.198426,0.200091,-0.760853
1.63455,-0.203545,1.12531,-0.724906,1.03782,-0.526405,0.0362018,0.199618,-0.4017,-0.208506,0.210248,-0.761767
1.64462,-0.213296,1.1219,-0.720415,1.03462,-0.529379,0.0384694,0.209054,-0.399492,-0.218498,0.220316,-0.762651
1.65462,-0.222771,1.11817,-0.715972,1.03218,-0.532003,0.0407482,0.218206,-0.398181,-0.228139,0.230034,-0.76341
1.66486,-0.232155,1.11439,-0.711563,1.02997,-0.534539,0.0430225,0.227265,-0.397102,-0.237665,0.239637,-0.76416
1.67466,-0.241175,1.1104,-0.707289,1.02865,-0.536723,0.0452783,0.235957,-0.396945,-0.246735,0.248783,-0.764877
1.68471,-0.250089,1.10637,-0.703066,1.02758,-0.538823,0.0475232,0.244542,-0.397025,-0.255671,0.257796,-0.765602
1.6947,-0.258582,1.10221,-0.699048,1.02748,-0.540591,0.0497241,0.252705,-0.398051,-0.264075,0.266277,-0.766364
1.70469,-0.266962,1.09805,-0.695094,1.02765,-0.542282,0.0519089,0.260756,-0.399308,-0.272336,0.274615,-0.767151
1.71478,-0.274891,1.09389,-0.691401,1.0289,-0.543665,0.0540286,0.268357,-0.40149,-0.280025,0.282378,-0.768039
1.72484,-0.282705,1.08976,-0.687783,1.03041,-0.544981,0.0561279,0.275749,-0.40389,-0.287566,0.289992,-0.768964
1.73484,-0.290058,1.08573,-0.684464,1.03302,-0.546025,0.0581452,0.282305,-0.407156,-0.294518,0.297013,-0.77004
1.7449,-0.297298,1.08173,-0.681227,1.03587,-0.547012,0.0601389,0.287144,-0.410617,-0.301325,0.303887,-0.77116
1.75486,-0.304087,1.0779,-0.678309,1.03975,-0.54777,0.0620383,0.285117,-0.414853,-0.307547,0.310174,-0.772463
